Rank,Movie,ReleaseDate,Distributor,Genre,2022 Gross,Tickets Sold
61,Blacklight,"Feb 11, 2022",Briarcliff Entert…,Action,"$9,591,094","1,045,920"
62,Firestarter,"May 13, 2022",Universal,Horror,"$9,589,250","1,045,719"
63,The Matrix Resurrections,"Dec 22, 2021",Warner Bros.,Action,"$9,552,171","1,041,676"
64,See How They Run,"Sep 16, 2022",Searchlight Pictures,Comedy,"$9,311,420","1,015,422"
65,Pearl,"Sep 16, 2022",A24,Horror,"$9,235,005","1,007,088"
66,Redeeming Love,"Jan 21, 2022",Universal,Drama,"$9,214,020","1,004,800"
67,Three Thousand Years of Lon…,"Aug 26, 2022",United Artists,Drama,"$8,286,741","903,679"
68,Brahmastra Part 1: Shiva,"Sep 9, 2022",Fox Star India,Adventure,"$7,839,108","854,864"
69,Men,"May 20, 2022",A24,Horror,"$7,587,853","827,464"
70,Memory,"Apr 29, 2022",Open Road,Action,"$7,329,043","799,241"
71,Fall,"Aug 12, 2022",Lionsgate,Thriller/Suspense,"$7,240,521","789,587"
72,Ghostbusters: Afterlife,"Nov 19, 2021",Sony Pictures,Comedy,"$6,981,615","761,353"
73,BTS Permission to Dance on …,"Mar 12, 2022",Trafalgar Releasing,Concert/Perfor…,"$6,840,000","745,910"
74,K.G.F: Chapter 2,"Apr 14, 2022",Viva Entertainment,Action,"$6,604,562","720,235"
75,Marcel the Shell with Shoes On,"Jun 24, 2022",A24,Comedy,"$6,333,703","690,698"
76,Encanto,"Nov 24, 2021",Walt Disney,Adventure,"$5,465,293","595,997"
77,Orphan: First Kill,"Aug 19, 2022",Paramount Pictures,Horror,"$5,413,227","590,319"
78,Tucker: The Man and His Dream,"Aug 12, 1988",Paramount Pictures,Drama,"$5,253,342","572,883"
79,Lifemark,"Sep 9, 2022",Fathom Events,Drama,"$5,007,861","546,113"
80,Ponniyin Selvan: Part One,"Sep 30, 2022",Sarigama Cinemas,Action,"$4,918,000","536,314"
81,House of Gucci,"Nov 24, 2021",United Artists,Drama,"$4,786,047","521,924"
82,Mississippi Masala,"Feb 5, 1992",Goldwyn Entertain…,Drama,"$4,745,453","517,497"
83,The Cursed,"Feb 18, 2022",LD Entertainment,Horror,"$4,588,389","500,369"
84,ET: The Extra-Terrestrial,"Jun 11, 1982",Universal,Drama,"$4,301,665","469,101"
85,Vengeance,"Jul 29, 2022",Focus Features,Black Comedy,"$4,225,720","460,820"
86,Moonage Daydream,"Sep 16, 2022",Neon,Documentary,"$4,039,715","440,535"
87,Belle,"Jan 14, 2022",GKIDS,Adventure,"$4,018,313","438,202"
88,Family Camp,"May 13, 2022",Roadside Attractions,Comedy,"$3,973,263","433,289"
89,Cyrano,"Dec 17, 2021",United Artists,Musical,"$3,873,124","422,369"
90,Nightmare Alley,"Dec 17, 2021",Searchlight Pictures,Thriller/Suspense,"$3,757,964","409,810"
91,Laal Singh Chaddha,"Aug 11, 2022",Paramount Pictures,Drama,"$3,401,324","370,918"
92,The Outfit,"Mar 18, 2022",Focus Features,Drama,"$3,344,040","364,671"
93,Clerks III,"Sep 13, 2022",Fathom Events,Comedy,"$3,104,993","338,603"
94,The Worst Person in the World,"Feb 4, 2022",Neon,Comedy,"$3,034,775","330,946"
95,Breaking,"Aug 26, 2022",Bleecker Street,Thriller/Suspense,"$2,806,359","306,036"
96,Honk for Jesus. Save Your S…,"Sep 2, 2022",Focus Features,Comedy,"$2,561,270","279,309"
97,Mack & Rita,"Aug 12, 2022",Gravitas Ventures,Comedy,"$2,535,459","276,494"
98,Studio 666,"Feb 25, 2022",Open Road,Horror,"$2,513,963","274,150"
99,A Journal for Jordan,"Dec 10, 2021",Sony Pictures,Drama,"$2,494,113","271,986"
100,Crimes of the Future,"Jun 3, 2022",Neon,Horror,"$2,452,882","267,489"
101,Belfast,"Nov 12, 2021",Focus Features,Drama,"$2,364,945","257,900"
102,Terrifier 2,"Oct 6, 2022",Bloody Disgusting,Horror,"$2,295,000","250,272"
103,Gigi & Nate,"Sep 2, 2022",Roadside Attractions,Drama,"$2,275,523","248,148"
104,Parallel Mothers,"Dec 24, 2021",Sony Pictures Cla…,Drama,"$2,177,773","237,488"
105,Emily the Criminal,"Aug 12, 2022",Roadside Attractions,Thriller/Suspense,"$2,156,296","235,146"
106,The Wolf and the Lion,"Feb 4, 2022",Blue Fox Entertai…,Adventure,"$2,072,173","225,973"
107,Umma,"Mar 18, 2022",Sony Pictures,Horror,"$2,071,495","225,899"
108,Jeepers Creepers: Reborn,"Sep 19, 2022",Fathom Events,Horror,"$2,033,057","221,707"
109,Drive My Car,"Nov 24, 2021",Janus Films,Drama,"$2,023,519","220,667"
110,Watcher,"Jun 3, 2022",IFC Midnight,Thriller/Suspense,"$1,961,207","213,872"
111,Mr. Malcolmâs List,"Jul 1, 2022",Bleecker Street,Romantic Comedy,"$1,885,720","205,640"
112,The Good House,"Sep 30, 2022",Roadside Attractions,Comedy,"$1,838,532","200,494"
113,2022 Oscar Shorts,"Feb 25, 2022",ShortsHD,Multiple Genres,"$1,801,646","196,471"
114,Radhe Shyam,"Mar 11, 2022",Great India Films,Drama,"$1,800,000","196,292"
115,The Kingâs Daughter,"Jan 21, 2022",Gravitas Ventures,Adventure,"$1,747,263","190,541"
116,Infinite Storm,"Mar 25, 2022",Bleecker Street,Drama,"$1,600,542","174,541"
117,Jugjugg Jeeyo,"Jun 24, 2022",Moviegoers Entert…,Comedy,"$1,540,000","167,938"
118,The Duke,"Apr 22, 2022",Sony Pictures Cla…,Comedy,"$1,526,970","166,517"
119,Y Como Es El,"Apr 22, 2022",Pantelion Films,Comedy,"$1,500,636","163,646"
